2025-04-11 09:47:57: Log started 
2025-04-11 10:04:00: Active SELL — CALL, LTP: 268.85, SL: 288.7, TP: 247.45
2025-04-11 10:04:01: Active SELL — CALL, LTP: 268.85, SL: 288.7, TP: 247.45
2025-04-11 10:05:00: Active SELL — CALL, LTP: 264, SL: 288.7, TP: 247.45
2025-04-11 10:05:00: Active SELL — CALL, LTP: 264, SL: 288.7, TP: 247.45
2025-04-11 10:05:00: Active SELL — CALL, LTP: 264, SL: 288.7, TP: 247.45
2025-04-11 10:05:00: Active SELL — CALL, LTP: 264, SL: 288.7, TP: 247.45
2025-04-11 10:05:01: Active SELL — CALL, LTP: 264, SL: 288.7, TP: 247.45
2025-04-11 10:06:00: Active SELL — CALL, LTP: 267.65, SL: 288.7, TP: 247.45
2025-04-11 10:06:00: Active SELL — CALL, LTP: 267.65, SL: 288.7, TP: 247.45
2025-04-11 10:06:00: Active SELL — CALL, LTP: 267.65, SL: 288.7, TP: 247.45
2025-04-11 10:06:00: Active SELL — CALL, LTP: 267.65, SL: 288.7, TP: 247.45
2025-04-11 10:06:01: Active SELL — CALL, LTP: 267.65, SL: 288.7, TP: 247.45
2025-04-11 10:07:00: Active SELL — CALL, LTP: 253.4, SL: 288.7, TP: 247.45
2025-04-11 10:07:00: Active SELL — CALL, LTP: 253.4, SL: 288.7, TP: 247.45
2025-04-11 10:07:00: Active SELL — CALL, LTP: 253.4, SL: 288.7, TP: 247.45
2025-04-11 10:07:00: Active SELL — CALL, LTP: 253.4, SL: 288.7, TP: 247.45
2025-04-11 10:07:01: Active SELL — CALL, LTP: 253.4, SL: 288.7, TP: 247.45
2025-04-11 10:07:22: User exited the code
