timestamp,nifty_value,atm_strike,open,high,low,close,ce_price,pe_price,ce_vwap,pe_vwap
2025-04-09 13:07:00,22423.3,22400,22415.9,22425.1,22412.85,22423.3,19.85,8.8,34.56,37.67
2025-04-09 13:08:00,22419.75,22400,22424.6,22428.8,22418.4,22419.75,19.65,9.05,34.5,37.49
2025-04-09 13:09:00,22424.5,22400,22419.55,22424.8,22417.2,22424.5,21.4,8.4,34.47,37.42
2025-04-09 13:10:00,22430.7,22450,22426.2,22430.7,22423.3,22430.7,9.85,44.15,23.86,76.32
2025-04-09 13:11:00,22432.0,22450,22430.75,22434.7,22428.75,22432.0,10.3,42.6,23.78,76.14
2025-04-09 13:12:00,22436.2,22450,22432.7,22436.2,22429.4,22436.2,11.4,41.15,23.68,75.97
2025-04-09 13:13:00,22430.25,22450,22436.2,22436.2,22428.5,22430.25,9.15,43.55,23.59,75.8
2025-04-09 13:14:00,22426.15,22450,22429.5,22429.95,22420.25,22426.15,9,43.75,23.48,75.64
2025-04-09 13:15:00,22430.95,22450,22429.55,22433.0,22427.0,22430.95,8.4,44.05,23.42,75.55
2025-04-09 13:16:00,22430.5,22450,22431.25,22432.9,22428.5,22430.5,9.15,43.05,23.36,75.46
2025-04-09 13:17:00,22423.25,22400,22430.4,22430.75,22422.75,22423.25,19.4,7.3,34.05,36.22
2025-04-09 13:18:00,22427.55,22450,22424.85,22428.8,22421.7,22427.55,8.4,44.35,23.21,75.2
2025-04-09 13:19:00,22423.35,22400,22427.4,22427.4,22419.35,22423.35,19.8,7.15,33.97,35.98
2025-04-09 13:20:00,22422.2,22400,22423.65,22426.4,22420.15,22422.2,19,7.15,33.94,35.89
2025-04-09 13:21:00,22419.4,22400,22423.1,22423.1,22416.95,22419.4,18.45,7.7,33.86,35.72
2025-04-09 13:22:00,22418.65,22400,22418.45,22422.55,22416.95,22418.65,17,7.85,33.81,35.59
2025-04-09 13:23:00,22412.95,22400,22419.35,22419.35,22412.55,22412.95,15.25,8.95,33.7,35.4
2025-04-09 13:24:00,22414.2,22400,22412.55,22415.15,22411.0,22414.2,16.45,8.25,33.59,35.18
2025-04-09 13:25:00,22411.15,22400,22415.85,22415.85,22409.75,22411.15,15.55,9.25,33.55,35.05
2025-04-09 13:26:00,22418.05,22400,22411.5,22420.15,22409.75,22418.05,16.95,7.75,33.47,34.86
2025-04-09 13:27:00,22422.85,22400,22420.5,22424.25,22417.1,22422.85,17.95,7.15,33.41,34.68
2025-04-09 13:28:00,22424.85,22400,22422.95,22427.9,22419.75,22424.85,18.2,7.15,33.33,34.52
2025-04-09 13:29:00,22421.5,22400,22424.4,22424.4,22417.15,22421.5,17.7,7.05,33.28,34.43
2025-04-09 13:30:00,22416.45,22400,22419.9,22420.55,22414.45,22416.45,15.8,7.6,33.23,34.33
2025-04-09 13:31:00,22416.3,22400,22418.9,22423.2,22415.0,22416.3,16.3,7.75,33.18,34.21
2025-04-09 13:32:00,22420.85,22400,22417.45,22421.7,22413.4,22420.85,17.45,7,33.14,34.13
2025-04-09 13:33:00,22422.6,22400,22421.95,22425.45,22419.55,22422.6,17.5,6.85,33.09,33.99
2025-04-09 13:34:00,22415.2,22400,22423.0,22423.1,22414.6,22415.2,13.25,8.45,32.99,33.87
2025-04-09 13:35:00,22406.3,22400,22414.7,22414.7,22402.25,22406.3,10.7,9.85,32.71,33.48
2025-04-09 13:36:00,22404.15,22400,22406.1,22406.7,22402.35,22404.15,10.65,10.55,32.59,33.3
2025-04-09 13:37:00,22404.35,22400,22403.9,22405.8,22401.4,22404.35,11.2,9.9,32.5,33.13
2025-04-09 13:38:00,22400.7,22400,22403.9,22406.05,22399.65,22400.7,9.2,11.1,32.36,32.92
2025-04-09 13:39:00,22400.75,22400,22399.25,22402.6,22396.85,22400.75,9.45,10.4,32.17,32.71
2025-04-09 13:40:00,22399.7,22400,22401.1,22403.0,22399.4,22399.7,9.75,10.6,32.09,32.58
2025-04-09 13:41:00,22398.3,22400,22401.25,22402.95,22398.05,22398.3,9.4,11.6,32.02,32.43
2025-04-09 13:42:00,22401.0,22400,22398.15,22402.55,22397.35,22401.0,9.6,10,31.95,32.27
2025-04-09 13:43:00,22402.65,22400,22400.7,22405.25,22399.85,22402.65,10.3,8.85,31.83,32.02
2025-04-09 13:44:00,22400.35,22400,22403.0,22405.0,22399.95,22400.35,8.85,9.85,31.74,31.91
2025-04-09 13:45:00,22401.65,22400,22400.0,22403.55,22398.75,22401.65,9.45,9.65,31.65,31.79
2025-04-09 13:46:00,22404.3,22400,22401.55,22405.95,22400.15,22404.3,10.15,8.75,31.57,31.66
2025-04-09 13:47:00,22401.65,22400,22404.25,22404.25,22400.75,22401.65,10.1,9.2,31.51,31.56
2025-04-09 13:48:00,22403.95,22400,22403.0,22406.85,22401.3,22403.95,9.85,9.1,31.43,31.47
2025-04-09 13:49:00,22411.25,22400,22404.35,22411.3,22402.8,22411.25,11.25,7.4,31.35,31.33
2025-04-09 13:50:00,22404.1,22400,22411.1,22413.25,22403.35,22404.1,9.9,8.55,31.24,31.18
2025-04-09 13:51:00,22405.65,22400,22404.85,22408.7,22402.85,22405.65,10.2,8.2,31.16,31.06
2025-04-09 13:54:00,22399.7,22400,22402.8,22404.2,22399.05,22399.7,7.9,9.4,30.84,30.73
2025-04-09 13:55:00,22400.65,22400,22400.85,22401.9,22397.7,22400.65,7.55,9.9,30.71,30.61
2025-04-09 13:56:00,22403.4,22400,22400.0,22403.5,22398.25,22403.4,8,8.55,30.61,30.49
2025-04-09 13:57:00,22400.6,22400,22404.05,22404.2,22399.5,22400.6,7.55,9.85,30.53,30.4
2025-04-09 13:58:00,22399.8,22400,22400.55,22401.15,22396.55,22399.8,7.6,9.85,30.43,30.25
2025-04-09 13:59:00,22401.45,22400,22400.15,22402.05,22398.6,22401.45,7.65,9.4,30.37,30.17
2025-04-09 14:00:00,22399.25,22400,22401.5,22403.15,22398.6,22399.25,7,10,30.29,30.06
2025-04-09 14:01:00,22401.7,22400,22399.15,22403.65,22398.1,22401.7,7.35,8.85,30.2,29.96
2025-04-09 14:02:00,22400.15,22400,22402.15,22402.55,22398.8,22400.15,7.05,9.4,30.14,29.9
